DATE,PLAYER_FULL_NAME,Cluster
11/7/16,Aaron Harrison,0
11/5/16,Adreian Payne,0
11/4/16,AJ Hammons,0
10/31/16,Alan Williams,0
10/25/16,Anderson Varejao,0
11/23/16,Anthony Brown,0
11/14/16,Arinze Onuaku,0
11/1/16,Bobby Brown,0
11/7/16,Brian Roberts,0
10/29/16,Bryn Forbes,0
11/29/16,Cheick Diallo,0
11/7/16,Damjan Rudez,0
11/9/16,Daniel Ochefu,0
10/29/16,Davis Bertans,0
10/29/16,DeAndre Bembry,0
10/31/16,Denzel Valentine,0
10/29/16,Deyonta Davis,0
10/31/16,Diamond Stone,0
10/28/16,Dorian Finney-Smith,0
11/28/16,Fred VanVleet,0
10/29/16,Georges Niang,0
10/26/16,Glenn Robinson,0
10/28/16,Henry Ellenson,0
10/29/16,Isaiah Whitehead,0
11/9/16,Jake Layman,0
10/26/16,Jameer Nelson,0
10/25/16,James Jones,0
11/1/16,James Michael McAdoo,0
11/2/16,James Young,0
11/10/16,Jarnell Stokes,0
10/25/16,JaVale McGee,0
11/21/16,Jerryd Bayless,0
10/26/16,Joe Young,0
11/2/16,Joel Bolomboy,0
11/9/16,John Lucas III,0
10/25/16,Jordan McRae,0
10/29/16,Jordan Mickey,0
11/3/16,Juan Hernangomez,0
11/11/16,Kay Felder,0
10/28/16,Kevon Looney,0
11/2/16,Kyle Wiltjer,0
11/5/16,Malachi Richardson,0
11/6/16,Malik Beasley,0
11/2/16,Maurice Ndour,0
10/28/16,Michael Gbinije,0
10/27/16,Mike Muscala,0
10/28/16,Montrezl Harrell,0
10/28/16,Nicolas Brussino,0
10/29/16,Nicolas Laprovittola,0
11/1/16,Pat Connaughton,0
10/31/16,Paul Zipser,0
10/29/16,Rakeem Christmas,0
11/15/16,RJ Hunter,0
11/2/16,Ron Baker,0
10/27/16,Shabazz Napier,0
10/30/16,Sheldon McClellan,0
11/29/16,Steve Novak,0
10/29/16,Taurean Prince,0
10/26/16,Terrence Jones,0
11/3/16,Thon Maker,0
11/15/16,Tim Quarterman,0
11/1/16,Timothe Luwawu,0
10/30/16,Tomas Satoransky,0
11/7/16,Treveon Graham,0
11/1/16,Udonis Haslem,0
11/9/16,Alan Anderson,1
10/26/16,Anthony Tolliver,1
10/26/16,Brandon Rush,1
10/28/16,Buddy Hield,1
11/7/16,Christian Wood,1
10/28/16,Domantas Sabonis,1
10/26/16,Dwight Powell,1
10/28/16,Jakob Poeltl,1
10/26/16,James Johnson,1
10/26/16,Jeremy Lamb,1
10/27/16,Kelly Oubre,1
10/26/16,Kyle Singler,1
10/25/16,Noah Vonleh,1
10/28/16,Patrick McCaw,1
11/5/16,Ryan Kelly,1
10/28/16,Semaj Christon,1
10/27/16,DeAndre Jordan,2
10/26/16,Hassan Whiteside,2
10/27/16,Andrew Nicholson,3
10/26/16,Aron Baynes,3
10/25/16,Boris Diaw,3
10/28/16,Dante Exum,3
10/25/16,David West,3
10/26/16,Jared Dudley,3
10/29/16,Jarell Martin,3
10/27/16,Jason Smith,3
10/28/16,Joffrey Lauvergne,3
10/25/16,Jonathon Simmons,3
11/1/16,Jordan Hill,3
11/12/16,Josh McRoberts,3
10/28/16,Kevin Seraphin,3
10/27/16,Kris Humphries,3
10/25/16,Kyle O'Quinn,3
10/26/16,Lavoy Allen,3
10/27/16,Marreese Speights,3
10/26/16,Quincy Acy,3
10/25/16,Richard Jefferson,3
10/26/16,Roy Hibbert,3
10/26/16,Shabazz Muhammad,3
10/26/16,Spencer Hawes,3
10/26/16,Trevor Booker,3
10/26/16,Tyler Zeller,3
10/25/16,Zaza Pachulia,3
10/27/16,Bradley Beal,4
10/26/16,Brandon Knight,4
10/25/16,CJ McCollum,4
10/29/16,Danilo Gallinari,4
10/26/16,Dirk Nowitzki,4
10/26/16,Evan Fournier,4
11/6/16,Gordon Hayward,4
10/26/16,James Ennis,4
10/28/16,Joe Harris,4
10/26/16,Kemba Walker,4
10/26/16,Kentavious Caldwell-Pope,4
10/25/16,Kevin Love,4
10/25/16,Klay Thompson,4
10/26/16,Marcus Morris,4
10/26/16,Mike Conley,4
10/26/16,Mirza Teletovic,4
10/27/16,Nikola Mirotic,4
10/26/16,Robert Covington,4
10/26/16,Zach LaVine,4
10/29/16,Andrew Harrison,5
10/31/16,Anthony Bennett,5
10/25/16,Brandon Jennings,5
10/26/16,Chris McCullough,5
10/29/16,Dario Saric,5
10/25/16,Joe Ingles,5
10/25/16,Kyle Anderson,5
10/26/16,Langston Galloway,5
10/29/16,Malcolm Delaney,5
10/26/16,Rashad Vaughn,5
10/26/16,Ty Lawson,5
10/28/16,Tyler Ulis,5
11/1/16,Tyus Jones,5
10/28/16,Beno Udrih,6
10/26/16,Corey Brewer,6
10/29/16,Jamal Murray,6
10/26/16,Matthew Dellavedova,6
10/26/16,Nick Young,6
11/8/16,Randy Foye,6
10/26/16,Richaun Holmes,6
10/26/16,Terry Rozier,6
10/25/16,Allen Crabbe,7
10/26/16,Arron Afflalo,7
10/27/16,Austin Rivers,7
10/26/16,Ben McLemore,7
10/26/16,CJ Miles,7
10/27/16,Doug McDermott,7
10/26/16,E'Twaun Moore,7
10/26/16,Garrett Temple,7
10/26/16,Gerald Henderson,7
10/25/16,Justin Holiday,7
11/9/16,Kelly Olynyk,7
10/26/16,Marco Belinelli,7
10/27/16,Marcus Thornton,7
10/25/16,Meyers Leonard,7
10/25/16,Mike Dunleavy,7
10/26/16,Norman Powell,7
10/25/16,Patty Mills,7
11/18/16,Reggie Bullock,7
10/26/16,Rodney Stuckey,7
10/25/16,Sasha Vujacic,7
10/26/16,Solomon Hill,7
10/26/16,Stanley Johnson,7
10/26/16,Terrence Ross,7
10/29/16,Tony Snell,7
10/25/16,Trey Lyles,7
10/26/16,Vince Carter,7
11/28/16,Wayne Ellington,7
10/27/16,Wesley Johnson,7
10/29/16,Wilson Chandler,7
10/26/16,Aaron Gordon,9
11/16/16,Alonzo Gee,9
10/25/16,Andre Iguodala,9
10/29/16,Bobby Portis,9
10/26/16,Dante Cunningham,9
11/3/16,Darrell Arthur,9
10/26/16,DeMarre Carroll,9
11/7/16,Derrick Williams,9
10/29/16,Frank Kaminsky,9
10/26/16,Harrison Barnes,9
10/26/16,Jeff Green,9
10/26/16,Jon Leuer,9
10/26/16,Jonas Jerebko,9
11/4/16,Josh Richardson,9
10/26/16,Justin Anderson,9
10/26/16,Justise Winslow,9
10/26/16,Lance Stephenson,9
